modifier	head	avgModifier	stdevModifier	avgHead	stdevHead	compositionality	stdevHeadModifier	is_adj	compound	source	is_original
polo	shirt	1.733333	1.412641	5.0	0.0	3.366667	1.378002	False	polo_shirt	reddy	True
ivory	tower	0.37931	1.031029	0.535714	0.680449	0.464286	0.680449	False	ivory_tower	reddy	True
lip	service	2.033333	1.251222	1.75	1.404711	1.62069	1.063948	False	lip_service	reddy	True
health	insurance	4.533333	0.884433	4.833333	0.582142	4.4	1.171893	False	health_insurance	reddy	True
couch	potato	3.269231	1.482142	0.344828	0.657889	1.413793	1.034483	False	couch_potato	reddy	True
chain	reaction	2.407407	1.162987	4.517241	0.724958	2.931034	1.142624	False	chain_reaction	reddy	True
silver	bullet	0.518519	0.995187	0.551724	1.101291	0.666667	1.154701	False	silver_bullet	reddy	True
graduate	student	4.7	0.458258	5.0	0.0	4.9	0.3	False	graduate_student	reddy	True
cloud	nine	0.466667	0.618241	0.233333	0.422953	0.333333	0.537484	False	cloud_nine	reddy	True
front	runner	3.965517	0.964285	1.285714	1.097307	2.655172	1.320289	False	front_runner	reddy	True
agony	aunt	1.862069	1.224017	0.433333	0.558768	0.758621	0.857228	False	agony_aunt	reddy	True
rock	bottom	0.740741	0.885797	3.8	1.077033	2.142857	1.186661	False	rock_bottom	reddy	True
acid	test	0.714286	1.097307	3.896552	1.241379	1.222222	1.257079	False	acid_test	reddy	True
climate	change	4.896552	0.304543	4.827586	0.37774	4.965517	0.182466	False	climate_change	reddy	True
lotus	position	1.111111	1.165343	4.777778	0.41574	2.482759	1.221099	False	lotus_position	reddy	True
sitting	duck	1.482759	1.476732	0.413793	0.670421	0.96	1.03846	True	sitting_duck	reddy	True
car	park	4.896552	0.402135	4.0	1.095445	4.2	1.045626	False	car_park	reddy	True
gold	mine	1.37931	1.424267	0.703704	0.808053	0.814815	0.818175	False	gold_mine	reddy	True
gravy	train	0.296296	0.456623	0.448276	0.769514	0.310345	0.593264	False	gravy_train	reddy	True
case	study	3.655172	1.122677	4.666667	0.471405	3.7	0.971253	False	case_study	reddy	True
night	owl	4.466667	0.884433	0.5	0.823754	1.925926	1.274419	False	night_owl	reddy	True
pecking	order	0.777778	0.916246	3.888889	1.396645	1.689655	0.875074	False	pecking_order	reddy	True
eye	candy	3.827586	1.052713	0.714286	0.749149	1.482759	1.10237	False	eye_candy	reddy	True
nest	egg	0.785714	0.976771	0.5	0.866025	0.777778	0.87489	False	nest_egg	reddy	True
role	model	3.551724	1.220125	4.0	1.032796	4.111111	1.06574	False	role_model	reddy	True
fashion	plate	4.413793	1.067296	3.307692	2.071217	3.896552	1.422597	False	fashion_plate	reddy	True
crocodile	tear	0.185185	0.474305	3.785714	1.047348	1.25	1.089725	False	crocodile_tear	reddy	True
rat	race	0.25	0.50885	2.035714	1.322393	0.857143	0.989743	False	rat_race	reddy	True
crash	course	0.964286	0.944236	4.233333	0.919541	2.142857	1.273754	False	crash_course	reddy	True
rocket	science	0.642857	0.971534	1.551724	1.404088	1.428571	1.347712	False	rocket_science	reddy	True
memory	lane	4.75	0.50885	0.714286	0.795395	2.166667	1.035482	False	memory_lane	reddy	True
smoking	jacket	1.035714	0.82298	4.896552	0.304543	2.32	1.287478	False	smoking_jacket	reddy	True
interest	rate	4.344828	0.992241	4.689655	0.531974	4.571429	0.903508	False	interest_rate	reddy	True
engine	room	4.862069	0.344828	5.0	0.0	4.931034	0.253395	False	engine_room	reddy	True
blame	game	4.607143	0.672909	2.0	1.28174	2.72	0.917388	False	blame_game	reddy	True
brass	ring	3.733333	1.948219	3.866667	1.978776	3.724138	1.836349	False	brass_ring	reddy	True
panda	car	0.5	0.562731	4.655172	1.152983	1.807692	1.074861	False	panda_car	reddy	True
research	project	4.9	0.3	4.533333	0.956847	4.821429	0.382993	False	research_project	reddy	True
call	centre	4.733333	0.442217	4.413793	0.720021	4.655172	0.657889	False	call_centre	reddy	True
call	center	4.733333	0.442217	4.413793	0.720021	4.655172	0.657889	False	call_center	reddy	False
graveyard	shift	0.37931	0.611036	4.5	0.718795	1.518519	1.16652	False	graveyard_shift	reddy	True
credit	card	4.666667	0.537484	4.896552	0.304543	4.666667	0.699206	False	credit_card	reddy	True
cheat	sheet	2.3	1.594783	4.0	0.830455	2.892857	1.112888	False	cheat_sheet	reddy	True
parking	lot	4.833333	0.372678	4.766667	0.495536	4.7	0.640312	False	parking_lot	reddy	True
fine	line	3.172414	1.340843	2.033333	1.516209	2.689655	1.206404	True	fine_line	reddy	True
brick	wall	3.16	2.20327	3.533333	1.857118	3.793103	1.749469	False	brick_wall	reddy	True
speed	limit	4.933333	0.249444	4.827586	0.37774	4.827586	0.460057	False	speed_limit	reddy	True
swimming	pool	4.8	0.4	4.9	0.3	4.866667	0.339935	False	swimming_pool	reddy	True
bank	account	4.866667	0.339935	4.827586	0.460057	4.733333	0.442217	False	bank_account	reddy	True
