compound	modifier	head	transparent
business_representative	business	representative	True
business_trip	business	trip	True
cable_car	cable	car	True
cadet_branch	cadet	branch	False
calendar_year	calendar	year	True
call_centre	call	centre	False
call_center	call	center	False
calorie_intake	calorie	intake	True
camp_rules	camp	rules	True
camp_rule	camp	rule	True
cancer_insurance	cancer	insurance	True
cancer_screening	cancer	screening	True
cancer_specialist	cancer	specialist	True
capital_crime	capital	crime	False
capital_market	capital	market	False
capital_punishment	capital	punishment	False
car_chase	car	chase	True
car_door	car	door	True
car_key	car	key	True
car_maker	car	maker	True
car_wash	car	wash	True
card_game	card	game	True
card_reader	card	reader	True
cargo_capacity	cargo	capacity	True
cargo_facility	cargo	facility	True
cargo_shipping	cargo	shipping	True
cargo_transport	cargo	transport	True
carnival_crowd	carnival	crowd	True
carnival_people	carnival	people	True
case_law	case	law	False
case_study	case	study	True
cash_crop	cash	crop	False
cash_flow	cash	flow	True
cash_machine	cash	machine	True
cast_iron	cast	iron	False
cast_member	cast	member	True
cat_fight	cat	fight	False
cat_flap	cat	flap	True
catch_phrase	catch	phrase	False
cell_phone	cell	phone	False
cell_type	cell	type	True
center_row	center	row	True
centre_row	centre	row	True
chain_smoker	chain	smoker	False
charge_card	charge	card	True
charity_event	charity	event	True
cheek_teeth	cheek	teeth	False
chess_talent	chess	talent	True
chicken_breast	chicken	breast	True
child_abuse	child	abuse	True
child_care	child	care	True
chili_pepper	chili	pepper	True
china_clay	china	clay	False
chip_design	chip	design	True
chip_layer	chip	layer	True
chip_performance	chip	performance	True
chip_shop	chip	shop	True
chocolate_bar	chocolate	bar	True
chocolate_manufacturer	chocolate	manufacturer	True
church_member	church	member	True
cigarette_smoke	cigarette	smoke	True
circuit_court	circuit	court	False
citation_form	citation	form	True
city_centre	city	centre	True
city_center	city	center	True
class_member	class	member	True
class_people	class	people	True
class_player	class	player	True
class_structure	class	structure	True
client_request	client	request	True
climate_change	climate	change	True
closing_time	closing	time	True
cloth_makers	cloth	makers	True
cloth_maker	cloth	maker	True
clothing_store	clothing	store	True
club_house	club	house	True
coast_line	coast	line	True
coconut_plantation	coconut	plantation	True
code_name	code	name	True
coffee_bean	coffee	bean	True
coffee_break	coffee	break	True
coffee_grinder	coffee	grinder	True
coffee_machine	coffee	machine	True
coffee_plantation	coffee	plantation	True
college_career	college	career	True
colony_leaders	colony	leaders	True
colony_leader	colony	leader	True
color_television	color	television	True
colour_television	colour	television	True
column_design	column	design	True
command_line	command	line	False
community_radio	community	radio	True
company_car	company	car	True
company_contributions	company	contributions	True
company_contribution	company	contribution	True
company_law	company	law	True
company_office	company	office	True
company_partners	company	partners	True
company_partner	company	partner	True
company_president	company	president	True
company_store	company	store	True
company_town	company	town	True
competition_organizers	competition	organizers	True
competition_organizer	competition	organizer	True
competition_organisers	competition	organisers	True
competition_organiser	competition	organiser	True
computer_age	computer	age	True
computer_center	computer	center	True
computer_centre	computer	centre	True
computer_data	computer	data	True
computer_development	computer	development	True
computer_engineer	computer	engineer	True
computer_graphics	computer	graphics	True
computer_graphic	computer	graphic	True
computer_innovation	computer	innovation	True
computer_maker	computer	maker	True
computer_market	computer	market	True
computer_network	computer	network	True
computer_simulation	computer	simulation	True
computer_terminal	computer	terminal	True
computer_usage	computer	usage	True
computer_vision	computer	vision	True
con_man	con	man	False
concentration_camp	concentration	camp	False
concentration_requirements	concentration	requirements	True
concentration_requirement	concentration	requirement	True
cone_clutch	cone	clutch	True
confidence_bounds	confidence	bounds	False
confidence_bound	confidence	bound	False
construction_company	construction	company	True
construction_duty	construction	duty	True
construction_industry	construction	industry	True
construction_materials	construction	materials	True
construction_material	construction	material	True
construction_site	construction	site	True
consultation_event	consultation	event	True
contact_details	contact	details	True
contact_detail	contact	detail	True
contact_lens	contact	lens	False
control_panel	control	panel	True
control_tower	control	tower	True
convenience_store	convenience	store	False
conveyor_belt	conveyor	belt	True
core_element	core	element	True
core_idea	core	idea	True
core_strength	core	strength	True
core_value	core	value	True
corner_piece	corner	piece	True
corresponding_member	corresponding	member	True
cotton_industry	cotton	industry	True
counting_board	counting	board	True
country_access	country	access	True
country_mountain	country	mountain	True
course_format	course	format	True
course_work	course	work	True
cover_band	cover	band	False
cover_letter	cover	letter	False
cover_song	cover	song	False
cover_story	cover	story	False
crash_course	crash	course	False
credit_card	credit	card	True
crime_lord	crime	lord	True
crime_scene	crime	scene	True
cruise_lines	cruise	lines	False
cruise_line	cruise	line	False
crusader_lord	crusader	lord	True
crystal_molecules	crystal	molecules	True
crystal_molecule	crystal	molecule	True
cult_film	cult	film	False
cut_flowers	cut	flowers	True
data_analysis	data	analysis	True
data_format	data	format	True
day_care	day	care	False
day_trip	day	trip	True
death_certificate	death	certificate	True
death_notice	death	notice	True
death_penalty	death	penalty	True
death_row	death	row	False
death_sentence	death	sentence	True
death_squad	death	squad	True
debit_card	debit	card	True
debut_album	debut	album	True
deciding_factor	deciding	factor	True
degree_name	degree	name	True
depression_study	depression	study	True
design_details	design	details	True
design_detail	design	detail	True
design_theme	design	theme	True
destination_port	destination	port	True
destroyer_captain	destroyer	captain	True
developed_part	developed	part	True
development_effort	development	effort	True
development_needs	development	needs	True
development_need	development	need	True
development_scheme	development	scheme	True
development_system	development	system	True
direction_keys	direction	keys	True
direction_key	direction	key	True
director_credit	director	credit	True
dirt_road	dirt	road	False
disc_clutch	disc	clutch	True
disc_set	disc	set	True
discipline_problem	discipline	problem	True
discussion_page	discussion	page	True
divided_space	divided	space	True
division_alignment	division	alignment	True
dog_meat	dog	meat	True
domain_name	domain	name	False
draft_form	draft	form	True
draft_pick	draft	pick	False
dress_code	dress	code	False
drinking_water	drinking	water	True
drug_dealer	drug	dealer	True
drug_lord	drug	lord	False
education_program	education	program	True
education_programme	education	programme	True
education_supervision	education	supervision	True
education_system	education	system	True
egg_cell	egg	cell	True
emergency_surgery	emergency	surgery	True
emergency_transportation	emergency	transportation	True
emitting_diode	emitting	diode	True
employment_contract	employment	contract	True
end_product	end	product	True
end_user	end	user	True
energy_issues	energy	issues	True
energy_issue	energy	issue	True
energy_loss	energy	loss	True
energy_price	energy	price	True
energy_source	energy	source	True
engagement_ring	engagement	ring	True
enterprise_applications	enterprise	applications	True
enterprise_application	enterprise	application	True
enterprise_level	enterprise	level	True
entrance_gates	entrance	gates	True
entrance_gate	entrance	gate	True
entrance_way	entrance	way	True
episode_information	episode	information	True
event_notification	event	notification	True
excavations_parts	excavations	parts	True
excavations_part	excavations	part	True
exchange_rate	exchange	rate	True
expiration_date	expiration	date	True
eye_contact	eye	contact	True
eye_medication	eye	medication	True
face_value	face	value	False
factory_machines	factory	machines	True
factory_machine	factory	machine	True
fallen_angel	fallen	angel	False
family_company	family	company	True
family_estate	family	estate	True
family_name	family	name	True
family_seat	family	seat	False
family_ties	family	ties	False
family_tie	family	tie	False
family_tree	family	tree	False
father_help	father	help	True
feature_film	feature	film	False
fellow_inmate	fellow	inmate	True
fellow_student	fellow	student	True
fencing_coach	fencing	coach	True
field_goal	field	goal	False
field_trip	field	trip	False
field_use	field	use	True
field_work	field	work	False
fight_song	fight	song	False
fighter_jet	fighter	jet	True
fighter_pilot	fighter	pilot	True
fighting_spirit	fighting	spirit	True
film_credits	film	credits	True
film_credit	film	credit	True
film_director	film	director	True
film_genre	film	genre	True
film_production	film	production	True
film_unit	film	unit	True
film_world	film	world	True
finish_line	finish	line	True
fire_alarm	fire	alarm	True
fire_brigade	fire	brigade	True
fire_department	fire	department	True
fire_drill	fire	drill	False
fire_hazard	fire	hazard	True
fire_officer	fire	officer	True
fire_power	fire	power	False
fish_head	fish	head	True
flag_stop	flag	stop	False
flash_flood	flash	flood	False
flash_memory	flash	memory	False
flea_market	flea	market	False
flight_lessons	flight	lessons	True
flight_lesson	flight	lesson	True
flight_path	flight	path	True
flight_review	flight	review	True
flip_book	flip	book	False
floating_point	floating	point	False
folk_culture	folk	culture	True
folk_medicine	folk	medicine	True
folk_singer	folk	singer	True
following_buildings	following	buildings	True
following_building	following	building	True
food_chain	food	chain	False
food_court	food	court	True
foot_injury	foot	injury	True
football_league	football	league	True
forest_products	forest	products	True
forest_product	forest	product	True
foundation_policies	foundation	policies	True
foundation_policy	foundation	policy	True
founding_fathers	founding	fathers	False
founding_father	founding	father	False
founding_secretary	founding	secretary	True
frame_story	frame	story	False
freelance_work	freelance	work	True
freshman_year	freshman	year	True
front_line	front	line	False
front_panel	front	panel	True
gag_rule	gag	rule	False
gang_violence	gang	violence	True
gas_chamber	gas	chamber	True
gas_flow	gas	flow	True
gas_industry	gas	industry	True
gas_leak	gas	leak	True
gas_system	gas	system	True
gathering_place	gathering	place	True
ghost_town	ghost	town	False
gift_shop	gift	shop	True
girls_hockey	girls	hockey	True
girls_school	girls	school	True
glass_box	glass	box	True
glass_tube	glass	tube	True
glee_club	glee	club	False
gold_rush	gold	rush	False
golf_course	golf	course	True
goose_bumps	goose	bumps	False
goose_bump	goose	bump	False
goose_fossil	goose	fossil	True
governance_issues	governance	issues	True
governance_issue	governance	issue	True
government_agency	government	agency	True
government_approval	government	approval	True
government_charge	government	charge	True
government_efforts	government	efforts	True
government_effort	government	effort	True
government_funding	government	funding	True
government_intelligence	government	intelligence	True
government_leaders	government	leaders	True
government_leader	government	leader	True
government_minister	government	minister	True
government_opinion	government	opinion	True
government_organizations	government	organizations	True
government_organization	government	organization	True
government_organisations	government	organisations	True
government_organisation	government	organisation	True
government_permit	government	permit	True
government_power	government	power	True
government_radio	government	radio	True
government_sources	government	sources	True
government_source	government	source	True
government_troops	government	troops	True
government_troop	government	troop	True
government_work	government	work	True
graduation_day	graduation	day	True
grain_requirements	grain	requirements	True
grain_requirement	grain	requirement	True
grape_leaves	grape	leaves	True
grape_leaf	grape	leaf	True
grass_roots	grass	roots	False
grass_root	grass	root	False
green_card	green	card	False
green_color	green	color	True
green_colour	green	colour	True
green_tea	green	tea	True
greenhouse_gas	greenhouse	gas	False
groin_injury	groin	injury	True
ground_floor	ground	floor	True
ground_rule	ground	rule	False
ground_unit	ground	unit	True
ground_water	ground	water	True
group_stage	group	stage	True
growth_period	growth	period	True
guerrilla_warfare	guerrilla	warfare	True
guest_appearance	guest	appearance	False
guest_book	guest	book	False
guest_house	guest	house	True
guest_star	guest	star	False
guinea_pig	guinea	pig	False
gun_dog	gun	dog	False
hair_loss	hair	loss	True
hand_injury	hand	injury	True
hard_core	hard	core	False
hard_disk	hard	disk	False
hard_drive	hard	drive	False
hate_crimes	hate	crimes	True
hate_crime	hate	crime	True
head_injury	head	injury	True
heart_attack	heart	attack	True
heart_beat	heart	beat	True
heart_disease	heart	disease	True
heart_muscle	heart	muscle	True
heat_index	heat	index	True
heat_wave	heat	wave	False
heavy_metal	heavy	metal	False
heightened_level	heightened	level	True
high_school	high	school	False
hip_roof	hip	roof	False
home_country	home	country	True
home_front	home	front	False
home_ground	home	ground	False
home_run	home	run	False
home_town	home	town	True
home_video	home	video	True
honor_guard	honor	guard	True
horse_trials	horse	trials	True
horse_trial	horse	trial	True
host_country	host	country	True
house_arrest	house	arrest	False
house_keys	house	keys	True
house_key	house	key	True
house_painter	house	painter	True
house_plants	house	plants	True
house_plant	house	plant	True
hype_man	hype	man	False
ice_age	ice	age	True
ice_cube	ice	cube	True
ice_sheet	ice	sheet	True
icon_artwork	icon	artwork	True
illumination_conditions	illumination	conditions	True
illumination_condition	illumination	condition	True
index_finger	index	finger	True
information_technology	information	technology	True
injury_time	injury	time	False
input_box	input	box	True
inputs_change	inputs	change	True
installation_process	installation	process	True
instruction_set	instruction	set	True
instrument_maker	instrument	maker	True
intelligence_agency	intelligence	agency	True
intelligence_officer	intelligence	officer	True
intersection_point	intersection	point	True
item_information	item	information	True
jet_lag	jet	lag	False
job_performance	job	performance	True
junk_food	junk	food	False
kernel_sources	kernel	sources	True
kernel_source	kernel	source	True
known_one	known	one	True
lab_explosion	lab	explosion	True
labor_union	labor	union	True
labour_union	labour	union	True
lady_chapel	lady	chapel	False
land_bridge	land	bridge	True
land_claims	land	claims	True
land_claim	land	claim	True
land_grant	land	grant	True
land_mass	land	mass	True
land_survey	land	survey	True
land_taxation	land	taxation	True
language_acquisition	language	acquisition	True
language_contact	language	contact	True
language_courses	language	courses	True
language_course	language	course	True
language_groups	language	groups	True
language_group	language	group	True
language_problems	language	problems	True
language_problem	language	problem	True
language_speakers	language	speakers	True
language_speaker	language	speaker	True
language_understanding	language	understanding	True
language_versions	language	versions	True
language_version	language	version	True
law_education	law	education	True
law_school	law	school	True
lead_time	lead	time	False
leaf_spring	leaf	spring	False
leap_year	leap	year	False
learning_process	learning	process	True
learning_style	learning	style	True
lecture_hall	lecture	hall	True
lecture_notes	lecture	notes	True
lecture_note	lecture	note	True
library_section	library	section	True
life_change	life	change	True
life_cycle	life	cycle	False
life_expectancy	life	expectancy	True
life_jacket	life	jacket	False
life_story	life	story	True
lift_hill	lift	hill	False
liquor_shop	liquor	shop	True
liquor_store	liquor	store	True
living_conditions	living	conditions	True
living_condition	living	condition	True
lobby_area	lobby	area	True
love_life	love	life	False
love_triangle	love	triangle	False
lump_sum	lump	sum	False
luxury_automobile	luxury	automobile	True
lyrics_detail	lyrics	detail	True
lyric_detail	lyric	detail	True
machine_gun	machine	gun	False
machine_language	machine	language	True
machine_learning	machine	learning	False
magnifying_glass	magnifying	glass	True
majority_cases	majority	cases	True
majority_case	majority	case	True
mall_entrance	mall	entrance	True
mankind_instruction	mankind	instruction	True
mansion_house	mansion	house	True
map_elements	map	elements	True
map_element	map	element	True
mapping_process	mapping	process	True
market_conditions	market	conditions	True
market_condition	market	condition	True
market_place	market	place	True
mass_destruction	mass	destruction	True
mass_media	mass	media	False
master_plan	master	plan	False
maximum_sensitivity	maximum	sensitivity	True
meat_animals	meat	animals	True
meat_animal	meat	animal	True
meat_consumption	meat	consumption	True
media_commentators	media	commentators	True
media_commentator	media	commentator	True
media_player	media	player	True
media_relations	media	relations	True
media_relation	media	relation	True
media_support	media	support	True
media_technologies	media	technologies	True
media_technology	media	technology	True
melting_point	melting	point	True
member_nations	member	nations	True
member_nation	member	nation	True
members_return	members	return	True
member_return	member	return	True
memory_issue	memory	issue	True
memory_leak	memory	leak	True
memory_utilization	memory	utilization	True
memory_utilisation	memory	utilisation	True
metro_area	metro	area	True
million_dollar	million	dollar	True
mind_map	mind	map	False
mission_change	mission	change	True
mission_control	mission	control	True
morning_glory	morning	glory	False
mother_tongue	mother	tongue	False
mountain_bike	mountain	bike	True
mountain_goat	mountain	goat	True
mountain_range	mountain	range	True
mouth_movements	mouth	movements	True
mouth_movement	mouth	movement	True
movie_list	movie	list	True
movie_star	movie	star	True
muscle_contractions	muscle	contractions	True
muscle_contraction	muscle	contraction	True
music_school	music	school	True
muslim_countries	muslim	countries	True
muslim_country	muslim	country	True
mystery_story	mystery	story	True
navy_blue	navy	blue	False
nerve_agent	nerve	agent	False
network_data	network	data	True
neural_network	neural	network	True
news_anchor	news	anchor	False
news_source	news	source	True
nightclub_goer	nightclub	goer	True
noise_pollution	noise	pollution	True
noodle_preparation	noodle	preparation	True
north_bank	north	bank	True
numerical_calculations	numerical	calculations	True
numerical_calculation	numerical	calculation	True
nursery_stock	nursery	stock	False
ocean_floor	ocean	floor	True
office_building	office	building	True
oil_company	oil	company	True
oil_storage	oil	storage	True
open_market	open	market	True
open_source	open	source	False
opening_match	opening	match	True
operating_system	operating	system	False
opposition_member	opposition	member	True
opposition_players	opposition	players	True
opposition_player	opposition	player	True
opposition_protesters	opposition	protesters	True
opposition_protester	opposition	protester	True
opposition_radio	opposition	radio	True
optical_fiber	optical	fiber	False
order_execution	order	execution	True
organized_crime	organized	crime	True
organised_crime	organised	crime	True
output_information	output	information	True
pagan_family	pagan	family	True
pagan_people	pagan	people	True
pain_killer	pain	killer	True
pamphlet_form	pamphlet	form	True
panic_attack	panic	attack	False
papal_approval	papal	approval	True
paper_card	paper	card	True
paper_certificate	paper	certificate	True
paper_plate	paper	plate	True
park_bench	park	bench	True
particle_model	particle	model	True
particle_physics	particle	physics	True
party_list	party	list	True
pashtun_tribe	pashtun	tribe	True
patron_saint	patron	saint	True
pattern_recognition	pattern	recognition	True
peace_settlement	peace	settlement	True
pen_name	pen	name	False
people_flock	people	flock	True
people_skills	people	skills	False
people_skill	people	skill	False
pepper_spray	pepper	spray	False
performance_space	performance	space	True
period_laws	period	laws	True
period_law	period	law	True
petroleum_fires	petroleum	fires	True
petroleum_fire	petroleum	fire	True
petroleum_investment	petroleum	investment	True
petroleum_pipelines	petroleum	pipelines	True
petroleum_pipeline	petroleum	pipeline	True
petroleum_product	petroleum	product	True
phone_call	phone	call	True
physics_community	physics	community	True
physics_lab	physics	lab	True
piano_lesson	piano	lesson	True
picnic_lunch	picnic	lunch	True
picture_elements	picture	elements	True
picture_element	picture	element	True
pig_iron	pig	iron	False
pilot_error	pilot	error	True
pipe_system	pipe	system	True
pit_stop	pit	stop	False
plane_spotter	plane	spotter	True
plantation_owner	plantation	owner	True
player_images	player	images	True
player_image	player	image	True
player_skill	player	skill	True
playing_career	playing	career	True
playing_field	playing	field	True
playing_time	playing	time	True
plot_structure	plot	structure	True
point_guard	point	guard	False
police_radar	police	radar	True
pool_facility	pool	facility	True
pool_water	pool	water	True
pop_singer	pop	singer	True
pornography_industry	pornography	industry	True
position_paper	position	paper	False
positive_reinforcement	positive	reinforcement	True
post_office	post	office	True
potato_peeler	potato	peeler	True
power_base	power	base	False
power_train	power	train	False
power_vacuum	power	vacuum	True
presentation_area	presentation	area	True
pressure_area	pressure	area	True
pressure_difference	pressure	difference	True
pressure_group	pressure	group	True
price_hike	price	hike	True
price_increase	price	increase	True
price_point	price	point	False
processor_utilization	processor	utilization	True
processor_utilisation	processor	utilisation	True
produced_versions	produced	versions	True
produced_version	produced	version	True
product_range	product	range	True
program_issues	program	issues	True
program_issue	program	issue	True
property_investment	property	investment	True
property_rights	property	rights	True
property_right	property	right	True
protagonist_role	protagonist	role	True
publishing_deal	publishing	deal	True
publishing_effort	publishing	effort	True
punctuated_rhythm	punctuated	rhythm	True
punk_band	punk	band	True
punk_friend	punk	friend	True
puppet_wolves	puppet	wolves	True
puppet_wolf	puppet	wolf	True
quality_control	quality	control	True
quality_job	quality	job	True
quality_school	quality	school	True
quality_software	quality	software	True
quarter_finals	quarter	finals	True
quarter_section	quarter	section	False
rabbit_meat	rabbit	meat	True
race_car	race	car	True
race_conditions	race	conditions	True
race_condition	race	condition	True
radio_audience	radio	audience	True
radio_program	radio	program	True
radio_programme	radio	programme	True
radio_service	radio	service	True
radio_station	radio	station	True
radio_version	radio	version	True
rail_network	rail	network	True
railway_commission	railway	commission	True
railway_construction	railway	construction	True
railway_police	railway	police	True
railway_regulations	railway	regulations	True
railway_regulation	railway	regulation	True
rain_forest	rain	forest	False
rap_group	rap	group	True
real_estate	real	estate	False
rebel_barons	rebel	barons	True
rebel_baron	rebel	baron	True
record_company	record	company	True
recording_location	recording	location	True
recording_quality	recording	quality	True
reference_number	reference	number	True
reinforcement_learning	reinforcement	learning	True
relativity_textbook	relativity	textbook	True
release_date	release	date	True
relief_operation	relief	operation	True
replacement_list	replacement	list	True
research_work	research	work	True
reserve_balances	reserve	balances	True
reserve_balance	reserve	balance	True
resistance_groups	resistance	groups	True
resistance_group	resistance	group	True
resistance_movements	resistance	movements	True
resistance_movement	resistance	movement	True
resource_management	resource	management	True
resting_posture	resting	posture	True
return_flight	return	flight	True
return_trip	return	trip	True
review_process	review	process	True
rice_consumption	rice	consumption	True
rice_field	rice	field	True
rice_shop	rice	shop	True
ring_road	ring	road	True
ringing_phone	ringing	phone	True
risk_factor	risk	factor	True
rocky_ground	rocky	ground	True
role_model	role	model	False
roll_cage	roll	cage	False
roller_coaster	roller	coaster	False
root_cause	root	cause	True
root_channel	root	channel	True
root_structure	root	structure	True
round_trip	round	trip	False
running_time	running	time	True
rush_hour	rush	hour	False
safety_arrangements	safety	arrangements	True
safety_arrangement	safety	arrangement	True
safety_implications	safety	implications	True
safety_implication	safety	implication	True
safety_improvements	safety	improvements	True
safety_improvement	safety	improvement	True
salary_cap	salary	cap	False
salt_marsh	salt	marsh	True
scale_model	scale	model	True
scholarship_recipient	scholarship	recipient	True
school_alumni	school	alumni	True
school_board	school	board	True
school_bus	school	bus	True
school_clothes	school	clothes	True
school_cloth	school	cloth	True
school_contract	school	contract	True
school_day	school	day	True
school_district	school	district	True
school_friend	school	friend	True
school_mates	school	mates	True
school_mate	school	mate	True
school_program	school	program	True
school_programme	school	programme	True
school_record	school	record	True
school_scholarship	school	scholarship	True
science_fiction	science	fiction	True
screen_shot	screen	shot	True
search_engine	search	engine	False
seat_belt	seat	belt	True
secured_installation	secured	installation	True
security_agreements	security	agreements	True
security_agreement	security	agreement	True
security_authorities	security	authorities	True
security_authority	security	authority	True
security_guard	security	guard	True
security_matters	security	matters	True
security_matter	security	matter	True
security_reasons	security	reasons	True
security_reason	security	reason	True
security_registration	security	registration	True
security_relation	security	relation	True
security_situation	security	situation	True
semiconductor_manufacturer	semiconductor	manufacturer	True
service_area	service	area	True
serving_officer	serving	officer	True
sewing_machine	sewing	machine	True
sex_education	sex	education	True
sex_life	sex	life	False
sheet_music	sheet	music	True
shelf_life	shelf	life	False
shift_work	shift	work	True
shock_wave	shock	wave	False
short_film	short	film	True
short_notice	short	notice	True
short_story	short	story	True
shot_put	shot	put	False
side_doorway	side	doorway	True
side_effect	side	effect	False
side_kick	side	kick	False
side_pocket	side	pocket	True
side_role	side	role	True
sign_language	sign	language	True
signal_box	signal	box	False
silver_age	silver	age	False
silver_atoms	silver	atoms	True
silver_atom	silver	atom	True
silver_medal	silver	medal	True
silver_piece	silver	piece	True
simulation_noise	simulation	noise	True
singing_group	singing	group	True
sister_ship	sister	ship	False
site_name	site	name	True
site_replacements	site	replacements	True
site_replacement	site	replacement	True
ski_resort	ski	resort	True
skin_care	skin	care	True
skin_cell	skin	cell	True
skin_change	skin	change	True
slate_roof	slate	roof	True
snub_cube	snub	cube	False
soap_opera	soap	opera	False
soft_drink	soft	drink	False
software_vendor	software	vendor	True
soil_surface	soil	surface	True
song_competition	song	competition	True
sorcery_stories	sorcery	stories	True
soul_mate	soul	mate	False
south_division	south	division	True
southeast_coast	southeast	coast	True
southeast_part	southeast	part	True
space_race	space	race	False
space_theme	space	theme	True
speech_recognition	speech	recognition	True
speed_bump	speed	bump	False
speed_limit	speed	limit	True
spending_reductions	spending	reductions	True
spending_reduction	spending	reduction	True
splash_guard	splash	guard	True
splinter_group	splinter	group	False
spoken_language	spoken	language	True
sports_day	sports	day	True
sports_stadium	sports	stadium	True
spring_water	spring	water	True
square_root	square	root	False
stage_name	stage	name	False
stamp_collection	stamp	collection	True
star_shell	star	shell	False
state_approval	state	approval	True
state_enterprise	state	enterprise	True
state_funds	state	funds	True
state_oil	state	oil	True
state_police	state	police	True
state_president	state	president	True
state_product	state	product	True
state_radio	state	radio	True
steel_industry	steel	industry	True
steel_tube	steel	tube	True
stem_cell	stem	cell	True
stick_figure	stick	figure	False
stimulant_medication	stimulant	medication	True
stock_company	stock	company	True
stone_tablet	stone	tablet	True
stop_word	stop	word	False
storage_capacity	storage	capacity	True
story_arc	story	arc	False
story_line	story	line	False
straw_man	straw	man	False
straw_poll	straw	poll	False
strip_club	strip	club	True
stroke_cases	stroke	cases	True
stroke_case	stroke	case	True
student_death	student	death	True
student_film	student	film	True
student_groups	student	groups	True
student_group	student	group	True
student_newspaper	student	newspaper	True
student_residence	student	residence	True
substance_abuse	substance	abuse	True
substance_use	substance	use	True
subway_cars	subway	cars	True
sugar_cube	sugar	cube	True
suicide_note	suicide	note	True
sun_god	sun	god	True
sun_screen	sun	screen	False
sun_time	sun	time	True
support_group	support	group	True
supporting_act	supporting	act	False
surface_area	surface	area	True
surface_waters	surface	waters	True
surface_water	surface	water	True
survey_area	survey	area	True
sweat_pants	sweat	pants	False
sweat_pant	sweat	pant	False
system_engineer	system	engineer	True
tag_line	tag	line	False
tag_team	tag	team	False
tail_section	tail	section	True
tap_water	tap	water	True
tape_recorder	tape	recorder	True
target_cell	target	cell	True
target_language	target	language	True
task_declaration	task	declaration	True
tax_base	tax	base	False
tax_haven	tax	haven	False
taxation_regulation	taxation	regulation	True
teaching_career	teaching	career	True
teaching_position	teaching	position	True
teddy_bear	teddy	bear	False
telephone_use	telephone	use	True
television_channel	television	channel	True
television_company	television	company	True
television_programme	television	programme	True
television_program	television	program	True
television_projects	television	projects	True
television_project	television	project	True
