modifier_mean	modifier_std	head_mean	head_std	compound_mean	compound_std	modifier	head
5.0	0.0	4.6818	1.3355	4.5455	1.3355	winter_noun	solstice_noun
3.875	1.3613	4.2917	1.3667	3.9583	1.3667	world_noun	conference_noun
0.8333	0.9852	4.5556	1.2834	1.3333	1.2834	armchair_noun	critic_noun
4.5	1.0432	3.6667	1.3921	3.9444	1.3921	baby_noun	buggy_noun
4.7	0.7327	4.65	0.5982	4.6	0.5982	birth_noun	rate_noun
4.25	1.2383	4.6875	1.2383	4.25	1.2383	bow_noun	tie_noun
3.3529	1.5387	2.2941	1.3201	2.6471	1.3201	brain_noun	teaser_noun
0.7059	1.1048	4.9412	1.2005	1.2353	1.2005	carpet_noun	bombing_noun
4.6667	0.8402	4.5556	0.9852	4.5	0.9852	computer_noun	program_noun
4.5	1.0	1.25	1.4473	2.1	1.4473	con_noun	artist_noun
4.6842	0.6709999999999999	4.6316	0.5824	4.6842	0.5824	cooking_noun	stove_noun
1.1053	1.1496	4.3158	1.1343	1.7895	1.1343	cotton_noun	candy_noun
2.55	1.7313	1.0	1.4096	1.25	1.4096	disc_noun	jockey_noun
4.2	1.4726	3.95	1.5985	3.85	1.5985	dust_noun	storm_noun
0.9444	0.8726	0.1667	0.7048	0.5556	0.7048	elbow_noun	grease_noun
1.3913	1.4378	0.6957	0.9409	0.6087	0.9409	elbow_noun	room_noun
4.7778	0.4278	3.8333	1.0432	4.1667	1.0432	entrance_noun	hall_noun
1.5263	1.8369	4.8421	1.7655	1.6842	1.7655	fish_noun	story_noun
1.1	0.7881	0.65	0.6882	0.5	0.6882	flower_noun	child_noun
4.5294	1.2805	3.9412	1.6292	3.8235	1.6292	food_noun	market_noun
1.3158	1.3355	3.3684	1.2681	1.9474	1.2681	foot_noun	soldier_noun
2.4545	1.5032	1.5909	1.4653	1.6364	1.4653	front_noun	man_noun
0.381	0.74	0.5714	0.8136	0.4762	0.8136	goose_noun	egg_noun
0.5455	0.8579	0.5455	0.9625	0.4545	0.9625	guinea_noun	pig_noun
4.8889	0.3234	4.0556	0.9852	4.1667	0.9852	health_noun	check_noun
4.15	1.2258	3.85	1.099	3.95	1.099	insane_noun	asylum_noun
5.0	0.0	4.8889	0.0	5.0	0.0	insurance_noun	company_noun
4.5	1.2354	4.0	1.3089	4.15	1.3089	insurance_noun	policy_noun
3.9375	1.2894	4.125	1.2042	3.875	1.2042	iron_noun	collar_noun
4.7647	0.4372	4.8824	0.4372	4.7647	0.4372	labour_noun	union_noun
3.3158	1.2933	3.1053	1.6754	2.8421	1.6754	life_noun	belt_noun
3.1667	1.5811	3.8333	1.4642	3.4444	1.4642	life_noun	vest_noun
4.6111	1.2433	4.7222	1.2433	4.6111	1.2433	lime_noun	tree_noun
4.5789	0.9612	0.5789	1.2472	1.0	1.2472	loan_noun	shark_noun
4.875	0.3416	4.4375	0.6021	4.6875	0.6021	mail_noun	service_noun
3.7368	1.3267	2.3158	1.633	3.0	1.633	market_noun	place_noun
3.6316	1.3829	4.6842	1.463	3.8421	1.463	middle_noun	school_noun
1.0952	1.3381	4.9048	1.4687	1.4286	1.4687	milk_noun	tooth_noun
0.5294	0.8745	0.8235	0.7952	0.5882	0.7952	mother_noun	tongue_noun
4.9444	0.2357	3.9444	1.2433	4.3889	1.2433	news_noun	agency_noun
0.4444	1.0416	0.4444	0.7838	0.4444	0.7838	nut_noun	case_noun
4.3	0.8645	4.4	0.7864	4.25	0.7864	phone_noun	book_noun
4.65	0.6708	3.0	1.3803	3.7	1.3803	pillow_noun	slip_noun
1.875	1.1909999999999998	1.9167	1.2482	1.4167	1.2482	pocket_noun	book_noun
4.8947	0.3153	4.8421	0.3153	4.8947	0.3153	prison_noun	guard_noun
4.8421	0.3746	4.4211	0.4189	4.7895	0.4189	prison_noun	term_noun
4.4	0.8826	3.35	1.3416	3.7	1.3416	record_noun	book_noun
4.875	0.3416	4.75	0.4472	4.75	0.4472	research_noun	lab_noun
3.1053	1.7605	0.2105	0.9048	0.5263	0.9048	sex_noun	bomb_noun
0.25	0.5501	0.35	0.5871	0.35	0.5871	silver_noun	lining_noun
2.6842	1.4927	4.1579	1.3443	3.1579	1.3443	street_noun	girl_noun
4.7368	0.4524	4.4211	0.5973	4.6316	0.5973	subway_noun	system_noun
2.2222	1.8005	4.3333	1.7573	2.5	1.7573	tennis_noun	elbow_noun
4.1	1.2524	0.35	1.3945	1.05	1.3945	top_noun	dog_noun
3.1875	1.5586	0.4375	1.3102	1.625	1.3102	word_noun	painting_noun
