compound	compositionality	head	modifier	avgHead	stdevHead	avgModifier	stdevModifier	stdevHeadModifier	is_adj	source	is_original
grey_matter	2.3889	matter	grey	3.4444	1.2472	2.2222	1.0603	1.3346	True	cordeiro90	True
gray_matter	2.3889	matter	gray	3.4444	1.2472	2.2222	1.0603	1.3346	True	cordeiro90	False
guinea_pig	0.4545	pig	guinea	0.5455	0.8579	0.5455	0.8579	0.9625	False	cordeiro90	True
half_sister	2.8421	sister	half	4.7895	0.6306	2.8421	1.6754	1.3023	True	cordeiro90	True
half_wit	1.1579	wit	half	1.2632	1.3267	1.3684	1.3	1.4245	True	cordeiro90	True
health_check	4.1667	check	health	4.0556	1.3492	4.8889	0.3234	0.9852	False	cordeiro90	True
high_life	1.6667	life	high	3.0556	1.6968	2.0	1.4552	1.2834	True	cordeiro90	True
inner_circle	1.5556	circle	inner	1.1111	1.2314	3.1667	1.3394	1.4234	True	cordeiro90	True
inner_product	3.0	product	inner	3.8	1.7403	3.1333	1.6417	1.6903	True	cordeiro90	True
insane_asylum	3.95	asylum	insane	3.85	1.2258	4.15	1.2258	1.099	False	cordeiro90	True
insurance_company	5.0	company	insurance	4.8889	0.4714	5.0	0.0	0.0	False	cordeiro90	True
insurance_policy	4.15	policy	insurance	4.0	1.4142	4.5	1.2354	1.3089	False	cordeiro90	True
iron_collar	3.875	collar	iron	4.125	1.4549	3.9375	1.2894	1.2042	False	cordeiro90	True
labour_union	4.7647	union	labour	4.8824	0.3321	4.7647	0.4372	0.4372	False	cordeiro90	True
labor_union	4.7647	union	labor	4.8824	0.3321	4.7647	0.4372	0.4372	False	cordeiro90	False
life_belt	2.8421	belt	life	3.1053	1.7287	3.3158	1.2933	1.6754	False	cordeiro90	True
life_vest	3.4444	vest	life	3.8333	1.2485	3.1667	1.5811	1.4642	False	cordeiro90	True
lime_tree	4.6111	tree	lime	4.7222	1.1785	4.6111	1.2433	1.2433	False	cordeiro90	True
loan_shark	1.0	shark	loan	0.5789	1.0706	4.5789	0.9612	1.2472	False	cordeiro90	True
loose_woman	2.5263	woman	loose	4.8947	0.3153	2.2105	1.6526	1.467	True	cordeiro90	True
mail_service	4.6875	service	mail	4.4375	0.8921	4.875	0.3416	0.6021	False	cordeiro90	True
market_place	3.0	place	market	2.3158	2.0015	3.7368	1.3267	1.633	False	cordeiro90	True
mental_disorder	4.8889	disorder	mental	4.8333	0.5145	4.9444	0.2357	0.3234	True	cordeiro90	True
middle_school	3.8421	school	middle	4.6842	1.0029	3.6316	1.3829	1.463	False	cordeiro90	True
milk_tooth	1.4286	tooth	milk	4.9048	0.4364	1.0952	1.3381	1.4687	False	cordeiro90	True
mother_tongue	0.5882	tongue	mother	0.8235	1.2862	0.5294	0.8745	0.7952	False	cordeiro90	True
narrow_escape	1.75	escape	narrow	3.5	1.6059	1.65	1.3089	1.3328	True	cordeiro90	True
net_income	2.9412	income	net	4.7647	0.6642	2.2353	1.8884	1.5601	True	cordeiro90	True
news_agency	4.3889	agency	news	3.9444	1.5136	4.9444	0.2357	1.2433	False	cordeiro90	True
noble_gas	1.1765	gas	noble	4.6471	0.8618	0.5294	0.8745	1.2862	True	cordeiro90	True
nut_case	0.4444	case	nut	0.4444	1.0416	0.4444	1.0416	0.7838	False	cordeiro90	True
old_flame	0.5789	flame	old	0.3158	0.7493	2.7895	1.5484	1.0706	True	cordeiro90	True
old_hat	0.3529	hat	old	0.0588	0.2425	3.6471	1.2719	0.6063	True	cordeiro90	True
old_timer	0.8889	timer	old	0.8889	1.4907	3.6667	1.645	1.4907	True	cordeiro90	True
phone_book	4.25	book	phone	4.4	0.9947	4.3	0.8645	0.7864	False	cordeiro90	True
pillow_slip	3.7	slip	pillow	3.0	1.8638	4.65	0.6708	1.3803	False	cordeiro90	True
pocket_book	1.4167	book	pocket	1.9167	1.8631	1.875	1.191	1.2482	False	cordeiro90	True
prison_guard	4.8947	guard	prison	4.8421	0.3746	4.8947	0.3153	0.3153	False	cordeiro90	True
prison_term	4.7895	term	prison	4.4211	0.6925	4.8421	0.3746	0.4189	False	cordeiro90	True
private_eye	0.8235	eye	private	0.5882	1.1757	3.0588	1.2976	1.1311	True	cordeiro90	True
record_book	3.7	book	record	3.35	1.8432	4.4	0.8826	1.3416	False	cordeiro90	True
research_lab	4.75	lab	research	4.75	0.5774	4.875	0.3416	0.4472	False	cordeiro90	True
sex_bomb	0.5263	bomb	sex	0.2105	0.5353	3.1053	1.7605	0.9048	False	cordeiro90	True
silver_lining	0.35	lining	silver	0.35	0.5871	0.25	0.5501	0.5871	False	cordeiro90	True
sound_judgement	3.3889	judgement	sound	4.1667	1.3394	2.0556	1.7648	1.6139	True	cordeiro90	True
sparkling_water	3.1364	water	sparkling	4.7727	0.6853	2.7273	1.6383	1.4895	True	cordeiro90	True
street_girl	3.1579	girl	street	4.1579	1.5371	2.6842	1.4927	1.3443	False	cordeiro90	True
subway_system	4.6316	system	subway	4.4211	0.9016	4.7368	0.4524	0.5973	False	cordeiro90	True
tennis_elbow	2.5	elbow	tennis	4.3333	1.3284	2.2222	1.8005	1.7573	False	cordeiro90	True
top_dog	1.05	dog	top	0.35	0.6708	4.1	1.2524	1.3945	False	cordeiro90	True
wet_blanket	0.2105	blanket	wet	0.3158	0.5824	0.3158	0.5824	0.5353	True	cordeiro90	True
word_painting	1.625	painting	word	0.4375	0.7274	3.1875	1.5586	1.3102	False	cordeiro90	True
