context	count
company_n	150040849
body_n	149990361
interest_n	149847035
city_n	149699576
last_a	149690989
require_v	149034000
consider_v	148770495
condition_n	148753848
course_n	146934787
term_n	145955503
member_n	145213291
always_r	144430293
second_a	143226953
level_n	142898145
side_n	142299694
university_n	142118973
information_n	142014680
home_n	141061511
live_v	140484301
others_n	140000310
court_n	139449388
put_v	139418726
party_n	139255185
period_n	139129517
type_n	138545456
chapter_n	137055190
action_n	136594985
method_n	136314712
possible_a	135966442
public_a	135916364
history_n	135461146
political_a	135040219
rather_r	134791209
mean_v	134775153
york_n	134285014
several_a	133404992
set_v	132058805
nature_n	130996076
force_n	130640553
church_n	130383873
land_n	130274871
remain_v	130253504
society_n	130161299
table_n	129903417
rate_n	129790348
head_n	128556531
lead_v	128428052
therefore_r	128160010
view_n	127511045
act_n	127170040
increase_v	126875587
certain_a	126751942
young_a	126593153
turn_v	126276007
produce_v	126220753
right_n	125959270
data_n	125880749
matter_n	125363014
receive_v	125206277
reason_n	124535644
eye_n	124435946
human_a	124333969
try_v	124123054
let_v	123668859
yet_r	123144328
once_r	123056256
american_a	122147943
policy_n	121695079
present_a	121667976
right_a	121042817
idea_n	120808750
section_n	120729699
john_n	120485450
position_n	120314677
business_n	120274635
control_n	119587128
activity_n	119456744
away_r	119283445
age_n	119282457
develop_v	118703881
student_n	117590508
united_n	117338561
class_n	117060710
carry_v	116350835
continue_v	116270775
mind_n	116133627
believe_v	115953891
kind_n	115582507
why_r	114990292
speak_v	114744644
stand_v	114641998
material_n	114331047
father_n	114217465
field_n	114208924
king_n	113996113
there_r	113260334
whole_a	112961593
pass_v	112959672
common_a	112652918
hear_v	112455486
nothing_n	112226711
describe_v	112187838
death_n	112142039
move_v	111802213
something_n	111552093
read_v	111181704
almost_r	111164798
letter_n	109560763
least_a	109303217
help_v	109244921
program_n	108954519
much_r	108316357
friend_n	108231705
allow_v	108122391
best_a	107133366
century_n	106685265
research_n	106145573
patient_n	105837420
add_v	105688356
function_n	105564221
true_a	105383548
later_r	105080537
contain_v	105060157
occur_v	105055652
education_n	104891468
next_a	104535249
room_n	104234934
meet_v	103955145
necessary_a	103759331
model_n	103359644
determine_v	103323794
language_n	103037787
experience_n	102863767
pay_v	102851844
purpose_n	102747856
art_n	102699641
property_n	102420169
community_n	102311969
mother_n	102158294
learn_v	101993960
press_n	101822122
full_a	101093517
together_r	100638429
form_v	100577584
send_v	100467153
structure_n	100327989
subject_n	100303727
relation_n	100253159
rule_n	100127536
run_v	99823051
create_v	99476953
understand_v	99392234
cell_n	99298998
grow_v	99245635
late_a	98966945
theory_n	98832487
difference_n	98763802
source_n	98626911
paper_n	98592065
involve_v	98119814
ever_r	98095993
various_a	97959963
already_r	97955934
change_v	97762680
cost_n	97474700
office_n	96415840
hour_n	96276755
perhaps_r	96232174
sense_n	95684286
less_a	95526445
london_n	95511176
only_a	95428937
short_a	94630258
account_n	94075220
character_n	94026718
accord_v	93814189
particular_a	93553436
establish_v	93519727
product_n	93268404
obtain_v	92991687
represent_v	92942593
night_n	92734633
issue_n	92677997
analysis_n	92664710
free_a	92637081
foot_n	92378175
knowledge_n	92193323
story_n	92155342
able_a	92128174
price_n	91981460
local_a	91883483
month_n	91806546
factor_n	91780176
suggest_v	91763722
economic_a	91530996
exist_v	91523331
mean_n	91261723
principle_n	91038355
reach_v	90508513
money_n	90423967
lord_n	90304267
movement_n	90117392
white_a	90014829
apply_v	89979919
report_n	89795231
usually_r	89333492
heart_n	89119750
object_n	89117738
cause_v	88774073
son_n	88644397
plan_n	88505364
air_n	88423722
need_n	88318309
market_n	88238275
practice_n	87674998
draw_v	87643099
science_n	87446124
situation_n	87258661
die_v	87156118
return_v	87100832
organization_n	87090144
real_a	86681566
lose_v	86614681
relationship_n	86400114
start_v	86394905
feel_v	86378473
production_n	86246437
one_n	86227983
strong_a	86126965
bear_v	85805498
quite_r	85598842
especially_r	85532052
amount_n	85492272
face_n	85480082
base_v	85074770
present_v	84832450
serve_v	84379583
similar_a	84314936
light_n	84173218
health_n	83805428
nation_n	83757052
ii_n	83415881
play_v	83061983
role_n	82831381
place_v	82669834
sometimes_r	82586332
special_a	82250847
population_n	81803065
offer_v	81417773
authority_n	81413234
operation_n	81362456
surface_n	80720790
due_a	80504985
evidence_n	80435344
indicate_v	80279895
town_n	80161052
food_n	79874744
soon_r	79868720
enter_v	79770994
moment_n	79594946
less_r	79481537
saw_v	79306949
event_n	79089538
build_v	79025753
decision_n	78872284
test_n	78863085
ground_n	78737380
note_n	78410259
single_a	78233878
clear_a	78157739
element_n	77906457
total_a	77269366
probably_r	77095870
treatment_n	77044488
natural_a	77012505
trade_n	76878207
bank_n	76757817
love_n	76749361
expect_v	76698166
england_n	76296417
river_n	76275389
union_n	76175171
first_r	75872016
industry_n	75852595
energy_n	75707046
cause_n	75072977
national_a	74979311
c_n	74654803
unit_n	74413252
major_a	74332329
available_a	74276722
self_a	74170234
felt_v	73955457
plant_n	73764671
president_n	73741761
indeed_r	73616296
really_r	73605065
concern_v	73578997
third_a	73476815
week_n	73469829
growth_n	73330777
effort_n	72995243
spirit_n	72937124
region_n	72906248
black_a	72387619
individual_a	72366686
teacher_n	72336476
sit_v	71892858
department_n	71852662
degree_n	71745454
open_a	71607422
bad_a	71548177
disease_n	71486157
lay_v	71298232
explain_v	71258190
happen_v	71116848
individual_n	70982458
personal_a	70922711
relate_v	70730637
america_n	70645089
reduce_v	70371962
space_n	70248928
care_n	70195123
solution_n	70073663
size_n	70002079
generally_r	69871550
application_n	69760787
street_n	69756960
author_n	69691795
influence_n	69690358
page_n	69589298
building_n	69529771
stage_n	69478497
culture_n	69465484
accept_v	69406016
army_n	69350582
specific_a	69169412
management_n	69155311
american_n	68962900
note_v	68743353
enough_r	68735116
refer_v	68705916
wife_n	68662444
seek_v	68528031
approach_n	68411036
worker_n	68391230
response_n	68383072
committee_n	68007418
discuss_v	67992771
quality_n	67896124
boy_n	67627302
simple_a	67579091
wall_n	67288451
further_a	67208529
tax_n	67162381
step_n	67064474
raise_v	67018601
loss_n	66809526
officer_n	66776613
direction_n	66632907
s_n	66503530
report_v	66266366
project_n	66178793
observe_v	66094322
support_n	66092670
measure_n	66045844
pressure_n	65969949
support_v	65857619
poor_a	65832297
choose_v	65798420
statement_n	65678301
job_n	65618831
blood_n	65618090
board_n	65526096
assume_v	65456221
college_n	65316732
reference_n	65298059
girl_n	65134132
general_n	65027814
open_v	65014667
talk_v	65012152
article_n	65010637
attention_n	64992987
tree_n	64983547
difficult_a	64962202
thought_n	64914854
manner_n	64860179
fig_n	64711961
foreign_a	64512205
design_n	64405480
et_v	64344250
association_n	64329759
truth_n	64303609
opinion_n	64255471
british_a	64155119
express_v	64136314
capital_n	64096655
b_n	64074834
arm_n	64019153
cent_n	63838799
door_n	63720055
parent_n	63716455
break_v	63476585
pattern_n	63473620
road_n	63420815
record_n	63405373
cover_v	63331620
fall_v	63275466
x_n	63170783
rise_v	63141083
respect_n	63060468
maintain_v	62965077
regard_v	62934837
hard_a	62884551
anything_n	62880444
private_a	62866256
sea_n	62795782
prove_v	62759724
percent_n	62484452
define_v	62405040
finally_r	62348859
remember_v	62097375
image_n	61943422
basis_n	61622055
publish_v	61566307
council_n	61510751
decide_v	61456700
addition_n	61430236
sir_n	61426501
english_a	61241213
voice_n	61228219
series_n	61212720
main_a	61202743
resource_n	61108997
volume_n	61084546
center_n	60973180
text_n	60963702
current_a	60953079
income_n	60786252
physical_a	60693643
non_a	60689257
particularly_r	60644422
instance_n	60529267
increase_n	60480055
brother_n	60211302
affect_v	60040476
journal_n	59854128
modern_a	59766990
animal_n	59521240
national_n	59455861
feeling_n	59325487
instead_r	59206305
act_v	59205386
mention_v	58973889
depend_v	58968511
mile_n	58764044
alone_r	58678278
behavior_n	58625308
love_v	58521891
france_n	58385275
temperature_n	58204537
duty_n	58188484
perform_v	58044201
leader_n	57772334
island_n	57723234
discussion_n	57637165
prepare_v	57552739
william_n	57486030
security_n	57382973
likely_a	57326768
compare_v	57227468
earth_n	56778661
sure_a	56645477
religious_a	56507871
picture_n	56441801
suppose_v	56432610
south_n	56269579
meeting_n	56213746
expression_n	56200814
big_a	56200740
procedure_n	56000907
concept_n	55994696
performance_n	55964781
original_a	55933275
length_n	55808964
site_n	55776422
easy_a	55700039
fire_n	55696822
range_n	55672621
deep_a	55619545
remove_v	55432910
opportunity_n	55291952
teach_v	55248339
following_a	55170266
lie_v	55150656
wide_a	54966477
institution_n	54899572
like_v	54868791
fail_v	54841907
simply_r	54840167
feature_n	54800263
labor_n	54654459
military_a	54554106
morning_n	54402132
distribution_n	54329091
stop_v	54256388
minute_n	54113677
minister_n	54043286
task_n	54031545
french_a	54014789
standard_n	53971859
walk_v	53877213
march_n	53846780
fine_a	53805438
result_v	53728469
agree_v	53694743
normal_a	53653412
sell_v	53423758
piece_n	53372404
specie_n	53264863
importance_n	53232746
vol_n	53118566
state_v	53016634
religion_n	52862543
demand_n	52346520
wish_v	52217174
wait_v	52196294
international_a	52138241
identify_v	52046112
consist_v	52038409
set_n	52028256
europe_n	51951166
peace_n	51860229
north_n	51754651
difficulty_n	51682797
aspect_n	51574907
today_n	51536010
prevent_v	51509213
district_n	51478587
distance_n	51408532
german_a	51353146
complete_a	51327934
charge_n	51270673
detail_n	51250217
james_n	51241237
list_n	51195642
spend_v	51184700
india_n	51101753
sale_n	50986723
technique_n	50809038
recognize_v	50773239
significant_a	50631034
treat_v	50526385
date_n	50524442
direct_a	50496901
communication_n	50490368
red_a	50479083
division_n	50256418
success_n	50211974
west_n	50039435
music_n	50008042
george_n	49887466
central_a	49846722
agreement_n	49793831
cut_v	49776857
county_n	49677224
review_n	49605691
ship_n	49597342
employ_v	49593363
may_n	49462391
presence_n	49391917
equal_a	49389110
everything_n	49380986
drive_v	49377072
reaction_n	49333150
close_a	49235260
study_v	49221465
introduce_v	49203392
fill_v	49063765
rest_n	49031225
answer_n	48995690
return_n	48974102
clearly_r	48902954
deal_v	48863823
washington_n	48819396
june_n	48714351
argument_n	48637821
extent_n	48609532
nearly_r	48576661
oil_n	48568719
former_a	48562477
writer_n	48541028
m_n	48508784
basic_a	48506272
strength_n	48381335
actually_r	48295197
circumstance_n	48287280
bill_n	48243095
weight_n	48156924
justice_n	48100242
attempt_n	48045333
village_n	48033576
ability_n	47949164
master_n	47851249
arrive_v	47839573
down_r	47816654
benefit_n	47708497
kill_v	47638232
environment_n	47626379
advantage_n	47607656
final_a	47518058
library_n	47326551
car_n	47275444
christ_n	47179966
mass_n	47164640
choice_n	47139127
agent_n	47092237
meaning_n	47002275
medium_n	46989147
window_n	46965714
administration_n	46867171
associate_v	46844301
achieve_v	46830336
supply_n	46742669
horse_n	46727869
soul_n	46720792
commission_n	46693591
extend_v	46659924
lady_n	46609253
risk_n	46592782
effective_a	46549812
sample_n	46394248
join_v	46376311
hill_n	46249780
congress_n	46213108
literature_n	46143189
certainly_r	46093028
immediately_r	46079931
end_v	45925203
avoid_v	45835561
faith_n	45805738
arise_v	45797342
training_n	45746724
economy_n	45745127
recent_a	45674358
july_n	45491156
memory_n	45442232
stone_n	45407750
e_n	45401417
good_n	45384918
stock_n	45349230
enemy_n	45338158
directly_r	45315741
answer_v	45164721
p_n	45129582
variety_n	45044747
claim_n	45041729
reflect_v	44906110
existence_n	44864267
speech_n	44741943
base_n	44654880
sign_n	44361941
mountain_n	44312602
attitude_n	44250830
western_a	44223715
connection_n	44200568
technology_n	44127540
consideration_n	44121971
affair_n	44109802
sort_n	44069147
select_v	44009845
tend_v	43995098
discover_v	43932690
point_v	43818455
description_n	43809317
moral_a	43744748
suffer_v	43666096
pain_n	43654292
provision_n	43579792
examine_v	43557655
belong_v	43520663
consequence_n	43500327
reader_n	43386682
phase_n	43357283
experiment_n	43210448
box_n	43167131
eat_v	43158041
save_v	43114579
throw_v	43113123
style_n	43078402
error_n	43009641
april_n	42946216
color_n	42924158
title_n	42867088
content_n	42840595
lot_n	42832100
robert_n	42822636
dark_a	42818802
film_n	42788193
buy_v	42717712
freedom_n	42690496
operate_v	42677597
contract_n	42569596
easily_r	42568864
legal_a	42543456
charles_n	42379515
propose_v	42288234
vary_v	42274469
wood_n	42191117
european_a	42181712
agency_n	42167380
failure_n	42156028
average_a	42127373
soil_n	42027456
marriage_n	42021969
drug_n	42009137
construction_n	41991052
component_n	41938558
positive_a	41786885
doubt_n	41772026
husband_n	41678332
else_r	41644846
entire_a	41594179
requirement_n	41587303
computer_n	41576168
active_a	41534088
merely_r	41507523
proper_a	41421570
adopt_v	41234019
game_n	41167324
measure_v	41144254
goal_n	41118013
rock_n	41098147
front_n	41095013
observation_n	41068740
thomas_n	41052201
j_n	41030326
primary_a	41018437
dead_a	40985041
collection_n	40982732
very_a	40972329
argue_v	40963488
fund_n	40878773
financial_a	40817168
daughter_n	40802346
race_n	40800035
conclusion_n	40775796
frequently_r	40775624
improve_v	40755734
reality_n	40751426
henry_n	40744454
stay_v	40736415
contact_n	40693295
skill_n	40668936
china_n	40663352
watch_v	40657110
actual_a	40647460
code_n	40626676
face_v	40518958
gas_n	40510010
employee_n	40506857
cultural_a	40495240
machine_n	40473493
scale_n	40452080
firm_n	40446112
marry_v	40345468
future_n	40325147
equation_n	40304218
tradition_n	40281542
divide_v	40258943
strategy_n	40244933
flow_n	40153472
historical_a	40113675
name_v	40111914
network_n	39983925
none_n	39981632
reveal_v	39958729
t_n	39927516
conflict_n	39927178
ready_a	39888314
exchange_n	39885825
considerable_a	39873746
responsibility_n	39854757
status_n	39795110
possibility_n	39749111
sun_n	39700099
concern_n	39694214
staff_n	39676894
heavy_a	39669151
bed_n	39648690
scene_n	39599943
iii_n	39570929
force_v	39560644
hospital_n	39477679
will_n	39470975
play_n	39467726
constant_a	39357259
capacity_n	39296038
independent_a	39266923
paris_n	39215729
useful_a	39212463
longer_r	39184082
acid_n	39175038
appropriate_a	39121758
hope_n	39093357
paul_n	39075237
belief_n	39066745
portion_n	39026728
understanding_n	38987426
fear_n	38980959
investment_n	38869600
germany_n	38849359
wear_v	38803981
control_v	38792757
additional_a	38745068
passage_n	38738618
share_v	38696590
r_n	38667550
claim_v	38620711
motion_n	38593587
serious_a	38557122
spring_n	38462331
attempt_v	38424161
indian_n	38369266
command_n	38333297
corporation_n	38283801
desire_n	38268704
light_a	38245421
middle_n	38235488
permit_v	38213888
design_v	38156465
context_n	38038311
well_a	38022787
realize_v	37971362
sufficient_a	37888134
previous_a	37868700
declare_v	37836636
item_n	37801983
attack_n	37787929
regard_n	37769610
revolution_n	37757568
station_n	37650682
subject_a	37628084
january_n	37620217
cold_a	37619305
highly_r	37603790
origin_n	37598438
critical_a	37597364
occasion_n	37573655
jesus_n	37416095
october_n	37400622
document_n	37371362
judgment_n	37363110
admit_v	37346420
trial_n	37312913
summer_n	37308536
news_n	37239271
future_a	37230902
progress_n	37208071
conference_n	37164364
politics_n	37109091
east_n	37105383
appearance_n	37081122
relative_a	37079748
mark_n	37075950
enjoy_v	37060851
share_n	37022940
september_n	37021019
fight_v	37000459
branch_n	36957589
medical_a	36914471
director_n	36911694
definition_n	36883593
december_n	36865055
hall_n	36861721
connect_v	36848680
august_n	36774435
file_n	36658701
essential_a	36610839
indian_a	36610605
heat_n	36560222
otherwise_r	36539119
aid_n	36525444
gain_v	36487391
protect_v	36485454
hence_r	36480721
message_n	36449242
please_v	36375614
popular_a	36350884
engage_v	36332714
formation_n	36308967
instruction_n	36305258
english_n	36301252
rich_a	36298802
constitution_n	36217514
election_n	36167832
ed_v	36094223
battle_n	36042630
regulation_n	36028042
protection_n	36015415
quantity_n	35931283
refuse_v	35918941
sound_n	35895083
chance_n	35893162
complex_a	35824841
concentration_n	35824582
majority_n	35820740
close_v	35819195
public_n	35749997
doctor_n	35713395
citizen_n	35704052
limit_n	35701895
n_n	35686675
illustrate_v	35677377
soldier_n	35608149
v_n	35590409
fully_r	35573259
philosophy_n	35568531
judge_n	35529824
visit_v	35502219
win_v	35495596
left_a	35490690
entirely_r	35478806
beginning_n	35453714
evening_n	35361371
intend_v	35342461
generation_n	35341827
ancient_a	35337284
police_n	35335526
payment_n	35322236
possess_v	35310046
glass_n	35304398
forget_v	35293866
completely_r	35281873
instrument_n	35248302
internal_a	35128597
combine_v	35102827
characteristic_n	35089389
traditional_a	35038296
secretary_n	35013217
iron_n	34984958
chief_n	34978578
limit_v	34965784
attend_v	34893126
demonstrate_v	34835785
post_n	34799203
industrial_a	34773877
vessel_n	34736469
christian_a	34729712
turn_n	34710810
successful_a	34656574
record_v	34622871
someone_n	34620895
direct_v	34547688
frequency_n	34532044
lake_n	34479783
floor_n	34445249
long_r	34431522
impossible_a	34409484
complete_v	34372043
credit_n	34298785
conclude_v	34290889
relatively_r	34280925
interesting_a	34185365
above_a	34175540
mode_n	34174272
professor_n	34164997
destroy_v	34148873
sex_n	34125137
practical_a	34108041
governor_n	34098907
publication_n	34064349
david_n	34056461
november_n	33982349
output_n	33976982
past_a	33929985
derive_v	33891428
enable_v	33874997
d_n	33873116
catch_v	33871344
manager_n	33855621
civil_a	33790033
negative_a	33747350
wrong_a	33717846
africa_n	33690099
hair_n	33654625
quickly_r	33593138
substance_n	33537217
employment_n	33508052
path_n	33501957
listen_v	33445532
beautiful_a	33435053
labour_n	33410540
prince_n	33383787
plate_n	33377086
mark_v	33362017
resistance_n	33295532
somewhat_r	33282370
half_n	33268854
survey_n	33263487
mary_n	33169369
wave_n	33162198
tool_n	33125909
user_n	33111919
foundation_n	33058762
introduction_n	32915704
like_a	32915001
interpretation_n	32910968
britain_n	32907196
manage_v	32893353
mouth_n	32890946
forest_n	32852710
broad_a	32828277
proportion_n	32794019
sentence_n	32759238
upper_a	32688440
separate_a	32685436
bird_n	32669670
sister_n	32610677
federal_a	32573134
smith_n	32569349
happy_a	32558922
la_n	32548439
equipment_n	32542484
category_n	32526330
danger_n	32517233
organize_v	32494356
farm_n	32479119
exercise_n	32456804
help_n	32409256
acquire_v	32369249
comparison_n	32359831
examination_n	32347456
shape_n	32339815
address_v	32311960
skin_n	32186376
index_n	32170733
collect_v	32144936
garden_n	32139539
balance_n	32122007
forward_r	32089929
access_n	32086571
latter_a	32077453
ratio_n	32071085
grant_v	32065124
impact_n	32024827
conduct_v	31975595
edition_n	31975162
team_n	31955509
top_n	31954500
contribute_v	31954477
poem_n	31912589
layer_n	31899726
column_n	31856403
california_n	31814752
proceed_v	31772696
lack_n	31742778
past_n	31701788
estate_n	31690772
arrangement_n	31690732
profit_n	31644617
owner_n	31642025
co_n	31602201
potential_a	31568853
mental_a	31535671
experience_v	31518659
centre_n	31512511
bone_n	31498797
device_n	31445228
variation_n	31400050
repeat_v	31394391
one_a	31370870
captain_n	31364610
protein_n	31345903
location_n	31340353
fell_v	31319629
deal_n	31317686
succeed_v	31311583
constitute_v	31247094
expense_n	31229304
song_n	31228090
de_n	31211200
order_v	31150758
secure_v	31146910
japan_n	31144813
standard_a	31134043
settle_v	31114532
contribution_n	31101109
green_a	31093345
february_n	31082733
star_n	31056370
fix_v	30995561
mechanism_n	30978089
doctrine_n	30968077
external_a	30958813
edge_n	30939014
root_n	30900950
initial_a	30880006
fish_n	30880003
tissue_n	30774527
bar_n	30755453
winter_n	30746536
encourage_v	30733292
self_n	30691531
f_n	30681900
christian_n	30663709
white_n	30616806
desire_v	30601070
pull_v	30592621
contrast_n	30588071
reform_n	30555242
crime_n	30308596
year_a	30192080
brain_n	30187234
a_n	30179286
either_r	30158494
peter_n	30154326
combination_n	30077779
pleasure_n	30076281
southern_a	30054659
birth_n	30030883
being_n	30011303
writing_n	29999879
dog_n	29946254
dollar_n	29924486
copy_n	29914780
responsible_a	29894072
ago_r	29890428
professional_a	29876931
ordinary_a	29869623
troop_n	29844078
replace_v	29841177
forth_r	29808431
bond_n	29790094
hot_a	29741949
institute_n	29730853
wage_n	29727323
kingdom_n	29703370
powerful_a	29685899
measurement_n	29659098
improvement_n	29652938
wind_n	29637456
issue_v	29633091
blue_a	29609727
near_a	29560691
interaction_n	29546171
international_n	29519362
park_n	29490537
scheme_n	29478771
locate_v	29469483
valley_n	29464848
numerous_a	29460126
focus_v	29457049
chinese_a	29452228
queen_n	29447021
poet_n	29442553
scientific_a	29442099
san_n	29381980
identity_n	29376007
representative_n	29360085
distinguish_v	29353143
curve_n	29351793
strike_v	29348747
estimate_v	29343376
render_v	29330136
block_n	29295999
bind_v	29289049
occupy_v	29283794
store_n	29235959
client_n	29229685
appoint_v	29225808
demand_v	29220226
slave_n	29168921
back_n	29143813
plan_v	29098967
oppose_v	29095019
explanation_n	29077611
mission_n	29064233
suddenly_r	28997646
assembly_n	28996486
sexual_a	28981971
usual_a	28973427
territory_n	28912131
approach_v	28903365
spiritual_a	28882056
annual_a	28869397
circle_n	28812658
commercial_a	28812636
south_a	28805225
version_n	28794923
investigation_n	28794709
inch_n	28791161
moreover_r	28780342
jew_n	28766202
muscle_n	28763462
camp_n	28759495
bishop_n	28753954
trouble_n	28740334
bit_n	28716524
phenomenon_n	28687451
perspective_n	28686111
african_a	28678050
perfect_a	28675190
accompany_v	28610267
province_n	28548962
deny_v	28525908
l_n	28517301
artist_n	28505471
ought_v	28505286
heaven_n	28484832
deliver_v	28450967
supply_v	28357836
convention_n	28355082
fit_v	28324813
vision_n	28319801
influence_v	28266022
sight_n	28178553
richard_n	28167884
satisfy_v	28066617
address_n	28051501
sector_n	28025272
facility_n	28001962
notice_n	27956032
plane_n	27924255
coast_n	27920013
domestic_a	27894727
band_n	27831535
nevertheless_r	27830232
dream_n	27820254
sum_n	27814449
regular_a	27802078
hardly_r	27799825
absence_n	27799058
black_n	27797392
pure_a	27797346
chicago_n	27791834
planning_n	27745996
rise_n	27738008
treaty_n	27728153
check_v	27715324
everyone_n	27682934
settlement_n	27682087
recently_r	27668176
cross_v	27666575
surround_v	27665597
half_a	27663454
boat_n	27631380
van_n	27575679
selection_n	27570392
up_r	27486449
composition_n	27484219
leg_n	27479601
fruit_n	27415516
principal_a	27409978
exactly_r	27385431
h_n	27375574
fall_n	27348488
construct_v	27280274
representation_n	27245582
speed_n	27233681
native_a	27226507
differ_v	27220055
official_n	27200746
empire_n	27198451
preparation_n	27190475
spread_v	27181019
preserve_v	27180999
angle_n	27178747
height_n	27166368
largely_r	27150224
apparently_r	27147140
struggle_n	27141958
flower_n	27130121
resolution_n	27118366
canada_n	27090243
map_n	27088544
farmer_n	27081313
equally_r	27078818
leaf_n	27064335
career_n	27049285
trust_n	27036926
customer_n	27012666
miss_n	27009612
transfer_n	26959929
cross_n	26953320
quarter_n	26951990
commit_v	26926880
damage_n	26866776
northern_a	26850376
promote_v	26762254
assumption_n	26758256
drop_v	26749431
newspaper_n	26743132
generate_v	26715707
emerge_v	26665630
limited_a	26632120
immediate_a	26629462
divine_a	26625014
show_n	26612811
campaign_n	26591352
reply_v	26580381
season_n	26566506
g_n	26544376
option_n	26521127
double_a	26478785
pick_v	26455449
youth_n	26452679
fair_a	26440336
edward_n	26416269
quote_v	26390836
japanese_a	26370599
touch_v	26335099
anyone_n	26329710
separate_v	26321749
sequence_n	26306561
enterprise_n	26303222
respond_v	26296494
female_a	26293307
possession_n	26273554
mr_n	26259790
distinction_n	26228288
hang_v	26217614
search_n	26200725
ear_n	26170112
parliament_n	26168906
cycle_n	26158764
background_n	26155649
channel_n	26115862
beauty_n	26077561
pair_n	26046144
tendency_n	26042524
assessment_n	26036183
custom_n	26028203
latter_n	26012223
imagine_v	25997663
imply_v	25961879
evaluation_n	25935701
colony_n	25933079
sin_n	25917022
exception_n	25911769
symptom_n	25896080
notice_v	25886757
rest_v	25881370
boundary_n	25861875
attach_v	25858041
notion_n	25832598
finish_v	25805647
calculate_v	25798074
temple_n	25787546
mere_a	25748156
fourth_a	25716112
call_n	25705865
sing_v	25701869
visit_n	25663852
teaching_n	25657562
retain_v	25641587
gold_n	25619938
stream_n	25599802
jewish_a	25593073
travel_v	25591523
prayer_n	25587351
reading_n	25582961
advance_n	25581778
north_a	25567409
dry_a	25555542
debt_n	25553169
editor_n	25528627
insurance_n	25512830
card_n	25490597
reduction_n	25489096
tube_n	25484451
specify_v	25466427
view_v	25446876
creation_n	25434978
republic_n	25425925
gift_n	25408330
safety_n	25376300
k_n	25371719
obvious_a	25359078
club_n	25355806
aware_a	25340294
stress_n	25307864
seat_n	25307463
social_n	25259440
fresh_a	25256554
day_a	25247187
burn_v	25246366
previously_r	25205994
sleep_v	25198437
virtue_n	25197573
medicine_n	25197301
educational_a	25178525
conversation_n	25178132
carefully_r	25162598
objective_n	25155073
assistance_n	25114063
gather_v	25081886
variable_n	25068374
impose_v	25050662
defense_n	25038280
ed_n	25033576
injury_n	25028887
test_v	25009707
habit_n	24997692
slowly_r	24968669
baby_n	24962123
in_a	24938695
typical_a	24908041
disorder_n	24891345
east_a	24890442
signal_n	24882691
cambridge_n	24880864
appeal_n	24874761
closely_r	24805617
opposition_n	24804760
secondary_a	24801354
liberty_n	24785403
correct_a	24774521
chief_a	24755574
enough_a	24738537
personality_n	24736851
worth_a	24734841
official_a	24719759
steel_n	24692423
crisis_n	24673084
salt_n	24657058
gun_n	24629476
grant_n	24620654
right_r	24613847
ill_a	24597654
audience_n	24596571
formal_a	24590380
session_n	24573685
necessity_n	24566048
